zip,city,state,county,payout
57001,Alcester,SD,Union County,64.0
57311,Alexandria,SD,Hanson County,64.0
57212,Arlington,SD,Kingsbury County,64.0
57002,Aurora,SD,Brookings County,65.5
57003,Baltic,SD,Minnehaha County,64.0
57004,Beresford,SD,Union County,64.0
57005,Brandon,SD,Minnehaha County,64.0
57319,Bridgewater,SD,Mccook County,64.0
57006,Brookings,SD,Brookings County,65.5
57007,Brookings,SD,Brookings County,65.5
57010,Burbank,SD,Clay County,64.0
57012,Canistota,SD,Mccook County,64.0
57321,Canova,SD,Miner County,64.0
57013,Canton,SD,Lincoln County,64.0
57323,Carthage,SD,Miner County,64.0
57014,Centerville,SD,Turner County,60.0
57015,Chancellor,SD,Turner County,60.0
57016,Chester,SD,Lake County,64.0
57017,Colman,SD,Moody County,64.0
57018,Colton,SD,Minnehaha County,64.0
57020,Crooks,SD,Minnehaha County,64.0
57021,Davis,SD,Turner County,60.0
57022,Dell Rapids,SD,Minnehaha County,64.0
57024,Egan,SD,Moody County,64.0
57025,Elk Point,SD,Union County,64.0
57026,Elkton,SD,Brookings County,65.5
57332,Emery,SD,Hanson County,64.0
57334,Ethan,SD,Davison County,65.5
57027,Fairview,SD,Lincoln County,64.0
57337,Fedora,SD,Miner County,64.0
57028,Flandreau,SD,Moody County,64.0
57029,Freeman,SD,Hutchinson County,60.0
57340,Fulton,SD,Hanson County,64.0
57030,Garretson,SD,Minnehaha County,64.0
57031,Gayville,SD,Yankton County,65.5
57032,Harrisburg,SD,Lincoln County,64.0
57033,Hartford,SD,Minnehaha County,64.0
57349,Howard,SD,Miner County,64.0
57034,Hudson,SD,Lincoln County,64.0
57035,Humboldt,SD,Minnehaha County,64.0
57036,Hurley,SD,Turner County,60.0
57037,Irene,SD,Yankton County,65.5
57354,Kaylor,SD,Hutchinson County,60.0
57039,Lennox,SD,Lincoln County,64.0
57040,Lesterville,SD,Yankton County,65.5
57041,Lyons,SD,Minnehaha County,64.0
57042,Madison,SD,Lake County,64.0
57043,Marion,SD,Turner County,60.0
57045,Menno,SD,Hutchinson County,60.0
57046,Mission Hill,SD,Yankton County,65.5
57047,Monroe,SD,Turner County,60.0
57048,Montrose,SD,Mccook County,64.0
57050,Nunda,SD,Lake County,64.0
57051,Oldham,SD,Kingsbury County,64.0
57052,Olivet,SD,Hutchinson County,60.0
57053,Parker,SD,Turner County,60.0
57366,Parkston,SD,Hutchinson County,60.0
57054,Ramona,SD,Lake County,64.0
57055,Renner,SD,Minnehaha County,64.0
57057,Rutland,SD,Lake County,64.0
57058,Salem,SD,Mccook County,64.0
57059,Scotland,SD,Bon Homme County,64.0
57061,Sinai,SD,Brookings County,65.5
57101,Sioux Falls,SD,Minnehaha County,64.0
57103,Sioux Falls,SD,Minnehaha County,64.0
57104,Sioux Falls,SD,Minnehaha County,64.0
57105,Sioux Falls,SD,Minnehaha County,64.0
57106,Sioux Falls,SD,Minnehaha County,64.0
57107,Sioux Falls,SD,Minnehaha County,64.0
57108,Sioux Falls,SD,Lincoln County,64.0
57109,Sioux Falls,SD,Minnehaha County,64.0
57110,Sioux Falls,SD,Minnehaha County,64.0
57117,Sioux Falls,SD,Minnehaha County,64.0
57118,Sioux Falls,SD,Minnehaha County,64.0
57186,Sioux Falls,SD,Minnehaha County,64.0
57193,Sioux Falls,SD,Minnehaha County,64.0
57197,Sioux Falls,SD,Minnehaha County,64.0
57198,Sioux Falls,SD,Minnehaha County,64.0
57374,Spencer,SD,Mccook County,64.0
57063,Tabor,SD,Bon Homme County,64.0
57064,Tea,SD,Lincoln County,64.0
57065,Trent,SD,Moody County,64.0
57376,Tripp,SD,Hutchinson County,60.0
57067,Utica,SD,Yankton County,65.5
57068,Valley Springs,SD,Minnehaha County,64.0
57069,Vermillion,SD,Clay County,64.0
57070,Viborg,SD,Turner County,60.0
57071,Volga,SD,Brookings County,65.5
57072,Volin,SD,Yankton County,65.5
57073,Wakonda,SD,Clay County,64.0
57075,Wentworth,SD,Lake County,64.0
57276,White,SD,Brookings County,65.5
57076,Winfred,SD,Lake County,64.0
57077,Worthing,SD,Lincoln County,64.0
57078,Yankton,SD,Yankton County,65.5
