zip,city,state,county,payout
82050,Albin,WY,Laramie County,64.0
82051,Bosler,WY,Albany County,64.0
82052,Buford,WY,Albany County,64.0
82053,Burns,WY,Laramie County,64.0
82054,Carpenter,WY,Laramie County,64.0
82055,Centennial,WY,Albany County,64.0
82001,Cheyenne,WY,Laramie County,64.0
82002,Cheyenne,WY,Laramie County,64.0
82003,Cheyenne,WY,Laramie County,64.0
82006,Cheyenne,WY,Laramie County,64.0
82007,Cheyenne,WY,Laramie County,64.0
82008,Cheyenne,WY,Laramie County,64.0
82009,Cheyenne,WY,Laramie County,64.0
82010,Cheyenne,WY,Laramie County,64.0
82005,Fe Warren Afb,WY,Laramie County,64.0
82058,Garrett,WY,Albany County,64.0
82059,Granite Canon,WY,Laramie County,64.0
82060,Hillsdale,WY,Laramie County,64.0
82061,Horse Creek,WY,Laramie County,64.0
82063,Jelm,WY,Albany County,64.0
82070,Laramie,WY,Albany County,64.0
82071,Laramie,WY,Albany County,64.0
82072,Laramie,WY,Albany County,64.0
82073,Laramie,WY,Albany County,64.0
82081,Meriden,WY,Laramie County,64.0
82082,Pine Bluffs,WY,Laramie County,64.0
82083,Rock River,WY,Albany County,64.0
82084,Tie Siding,WY,Albany County,64.0
